AdoptID,Date,CityID,ShelterIntake,Adoptions,City,State
47,2025-02-16,1,0,0,New Delhi,Delhi
48,2025-02-17,1,0,0,New Delhi,Delhi
49,2025-02-18,1,0,0,New Delhi,Delhi
50,2025-02-19,1,0,0,New Delhi,Delhi
51,2025-02-20,1,1,1,New Delhi,Delhi
52,2025-02-21,1,0,0,New Delhi,Delhi
53,2025-02-22,1,1,1,New Delhi,Delhi
54,2025-02-23,1,1,1,New Delhi,Delhi
55,2025-02-24,1,0,0,New Delhi,Delhi
56,2025-02-25,1,0,0,New Delhi,Delhi
57,2025-02-26,1,1,1,New Delhi,Delhi
58,2025-02-27,1,1,1,New Delhi,Delhi
59,2025-02-28,1,0,0,New Delhi,Delhi
60,2025-03-01,1,0,0,New Delhi,Delhi
61,2025-03-02,1,0,0,New Delhi,Delhi
62,2025-03-03,1,1,1,New Delhi,Delhi
63,2025-03-04,1,0,0,New Delhi,Delhi
64,2025-03-05,1,0,0,New Delhi,Delhi
65,2025-03-06,1,1,1,New Delhi,Delhi
66,2025-03-07,1,0,0,New Delhi,Delhi
67,2025-03-08,1,0,0,New Delhi,Delhi
68,2025-03-09,1,0,0,New Delhi,Delhi
69,2025-03-10,1,0,0,New Delhi,Delhi
70,2025-03-11,1,0,0,New Delhi,Delhi
71,2025-03-12,1,0,0,New Delhi,Delhi
72,2025-03-13,1,0,0,New Delhi,Delhi
73,2025-03-14,1,1,1,New Delhi,Delhi
74,2025-03-15,1,1,1,New Delhi,Delhi
75,2025-03-16,1,1,1,New Delhi,Delhi
76,2025-03-17,1,1,1,New Delhi,Delhi
77,2025-03-18,1,0,0,New Delhi,Delhi
78,2025-03-19,1,0,0,New Delhi,Delhi
79,2025-03-20,1,1,1,New Delhi,Delhi
80,2025-03-21,1,0,0,New Delhi,Delhi
81,2025-03-22,1,0,0,New Delhi,Delhi
82,2025-03-23,1,1,1,New Delhi,Delhi
83,2025-03-24,1,0,0,New Delhi,Delhi
84,2025-03-25,1,0,0,New Delhi,Delhi
85,2025-03-26,1,0,0,New Delhi,Delhi
86,2025-03-27,1,1,1,New Delhi,Delhi
87,2025-03-28,1,0,0,New Delhi,Delhi
88,2025-03-29,1,0,0,New Delhi,Delhi
89,2025-03-30,1,0,0,New Delhi,Delhi
90,2025-03-31,1,0,0,New Delhi,Delhi
91,2025-04-01,1,0,0,New Delhi,Delhi
92,2025-04-02,1,1,1,New Delhi,Delhi
93,2025-04-03,1,0,0,New Delhi,Delhi
94,2025-04-04,1,1,1,New Delhi,Delhi
95,2025-04-05,1,1,1,New Delhi,Delhi
96,2025-04-06,1,1,1,New Delhi,Delhi
97,2025-04-07,1,1,1,New Delhi,Delhi
98,2025-04-08,1,0,0,New Delhi,Delhi
99,2025-04-09,1,0,0,New Delhi,Delhi
100,2025-04-10,1,0,0,New Delhi,Delhi
101,2025-04-11,1,1,1,New Delhi,Delhi
102,2025-04-12,1,1,1,New Delhi,Delhi
103,2025-04-13,1,0,0,New Delhi,Delhi
104,2025-04-14,1,0,0,New Delhi,Delhi
105,2025-04-15,1,0,0,New Delhi,Delhi
106,2025-04-16,1,0,0,New Delhi,Delhi
107,2025-04-17,1,0,0,New Delhi,Delhi
108,2025-04-18,1,0,0,New Delhi,Delhi
109,2025-04-19,1,1,1,New Delhi,Delhi
110,2025-04-20,1,1,1,New Delhi,Delhi
111,2025-04-21,1,0,0,New Delhi,Delhi
112,2025-04-22,1,0,0,New Delhi,Delhi
113,2025-04-23,1,0,0,New Delhi,Delhi
114,2025-04-24,1,0,0,New Delhi,Delhi
115,2025-04-25,1,1,1,New Delhi,Delhi
116,2025-04-26,1,0,0,New Delhi,Delhi
117,2025-04-27,1,1,1,New Delhi,Delhi
118,2025-04-28,1,0,0,New Delhi,Delhi
119,2025-04-29,1,0,0,New Delhi,Delhi
120,2025-04-30,1,1,1,New Delhi,Delhi
121,2025-05-01,1,0,0,New Delhi,Delhi
122,2025-05-02,1,0,0,New Delhi,Delhi
123,2025-05-03,1,0,0,New Delhi,Delhi
124,2025-05-04,1,1,1,New Delhi,Delhi
125,2025-05-05,1,1,1,New Delhi,Delhi
126,2025-05-06,1,1,1,New Delhi,Delhi
127,2025-05-07,1,1,1,New Delhi,Delhi
128,2025-05-08,1,1,1,New Delhi,Delhi
129,2025-05-09,1,0,0,New Delhi,Delhi
130,2025-05-10,1,1,1,New Delhi,Delhi
131,2025-05-11,1,1,1,New Delhi,Delhi
132,2025-05-12,1,1,1,New Delhi,Delhi
133,2025-05-13,1,1,1,New Delhi,Delhi
134,2025-05-14,1,0,0,New Delhi,Delhi
135,2025-05-15,1,1,1,New Delhi,Delhi
136,2025-05-16,1,1,1,New Delhi,Delhi
137,2025-05-17,1,0,0,New Delhi,Delhi
138,2025-05-18,1,1,1,New Delhi,Delhi
139,2025-05-19,1,1,1,New Delhi,Delhi
140,2025-05-20,1,0,0,New Delhi,Delhi
141,2025-05-21,1,1,1,New Delhi,Delhi
142,2025-05-22,1,1,1,New Delhi,Delhi
143,2025-05-23,1,0,0,New Delhi,Delhi
144,2025-05-24,1,1,1,New Delhi,Delhi
145,2025-05-25,1,1,1,New Delhi,Delhi
146,2025-05-26,1,1,1,New Delhi,Delhi
147,2025-05-27,1,0,0,New Delhi,Delhi
148,2025-05-28,1,1,1,New Delhi,Delhi
149,2025-05-29,1,0,0,New Delhi,Delhi
150,2025-05-30,1,0,0,New Delhi,Delhi
151,2025-05-31,1,1,1,New Delhi,Delhi
152,2025-06-01,1,0,0,New Delhi,Delhi
153,2025-06-02,1,1,1,New Delhi,Delhi
154,2025-06-03,1,1,1,New Delhi,Delhi
155,2025-06-04,1,1,1,New Delhi,Delhi
156,2025-06-05,1,0,0,New Delhi,Delhi
157,2025-06-06,1,0,0,New Delhi,Delhi
158,2025-06-07,1,1,1,New Delhi,Delhi
159,2025-06-08,1,1,1,New Delhi,Delhi
160,2025-06-09,1,1,1,New Delhi,Delhi
161,2025-06-10,1,1,1,New Delhi,Delhi
162,2025-06-11,1,1,1,New Delhi,Delhi
163,2025-06-12,1,0,0,New Delhi,Delhi
164,2025-06-13,1,1,1,New Delhi,Delhi
165,2025-06-14,1,0,0,New Delhi,Delhi
166,2025-06-15,1,1,1,New Delhi,Delhi
167,2025-06-16,1,0,0,New Delhi,Delhi
168,2025-06-17,1,1,1,New Delhi,Delhi
169,2025-06-18,1,1,1,New Delhi,Delhi
170,2025-06-19,1,1,1,New Delhi,Delhi
171,2025-06-20,1,0,0,New Delhi,Delhi
172,2025-06-21,1,1,1,New Delhi,Delhi
173,2025-06-22,1,0,0,New Delhi,Delhi
174,2025-06-23,1,0,0,New Delhi,Delhi
175,2025-06-24,1,1,1,New Delhi,Delhi
176,2025-06-25,1,0,0,New Delhi,Delhi
177,2025-06-26,1,1,1,New Delhi,Delhi
178,2025-06-27,1,0,0,New Delhi,Delhi
179,2025-06-28,1,0,0,New Delhi,Delhi
180,2025-06-29,1,0,0,New Delhi,Delhi
181,2025-06-30,1,1,1,New Delhi,Delhi
182,2025-07-01,1,1,1,New Delhi,Delhi
183,2025-07-02,1,0,0,New Delhi,Delhi
184,2025-07-03,1,1,1,New Delhi,Delhi
185,2025-07-04,1,0,0,New Delhi,Delhi
186,2025-07-05,1,0,0,New Delhi,Delhi
187,2025-07-06,1,1,1,New Delhi,Delhi
188,2025-07-07,1,0,0,New Delhi,Delhi
189,2025-07-08,1,1,1,New Delhi,Delhi
190,2025-07-09,1,0,0,New Delhi,Delhi
191,2025-07-10,1,0,0,New Delhi,Delhi
192,2025-07-11,1,0,0,New Delhi,Delhi
193,2025-07-12,1,0,0,New Delhi,Delhi
194,2025-07-13,1,0,0,New Delhi,Delhi
195,2025-07-14,1,0,0,New Delhi,Delhi
196,2025-07-15,1,0,0,New Delhi,Delhi
197,2025-07-16,1,1,1,New Delhi,Delhi
198,2025-07-17,1,0,0,New Delhi,Delhi
199,2025-07-18,1,1,1,New Delhi,Delhi
200,2025-07-19,1,0,0,New Delhi,Delhi
201,2025-07-20,1,1,1,New Delhi,Delhi
202,2025-07-21,1,0,0,New Delhi,Delhi
203,2025-07-22,1,1,1,New Delhi,Delhi
204,2025-07-23,1,0,0,New Delhi,Delhi
205,2025-07-24,1,0,0,New Delhi,Delhi
206,2025-07-25,1,0,0,New Delhi,Delhi
207,2025-07-26,1,0,0,New Delhi,Delhi
208,2025-07-27,1,0,0,New Delhi,Delhi
209,2025-07-28,1,0,0,New Delhi,Delhi
210,2025-07-29,1,0,0,New Delhi,Delhi
211,2025-07-30,1,1,1,New Delhi,Delhi
212,2025-07-31,1,0,0,New Delhi,Delhi
213,2025-08-01,1,0,0,New Delhi,Delhi
214,2025-08-02,1,1,1,New Delhi,Delhi
215,2025-08-03,1,0,0,New Delhi,Delhi
216,2025-08-04,1,0,0,New Delhi,Delhi
217,2025-08-05,1,0,0,New Delhi,Delhi
218,2025-08-06,1,1,1,New Delhi,Delhi
219,2025-08-07,1,0,0,New Delhi,Delhi
220,2025-08-08,1,0,0,New Delhi,Delhi
221,2025-08-09,1,1,1,New Delhi,Delhi
222,2025-08-10,1,1,1,New Delhi,Delhi
223,2025-08-11,1,0,0,New Delhi,Delhi
224,2025-08-12,1,0,0,New Delhi,Delhi
225,2025-08-13,1,0,0,New Delhi,Delhi
226,2025-08-14,1,0,0,New Delhi,Delhi
227,2025-08-15,1,0,0,New Delhi,Delhi
228,2025-08-16,1,1,1,New Delhi,Delhi
229,2025-08-17,1,0,0,New Delhi,Delhi
230,2025-08-18,1,1,1,New Delhi,Delhi
231,2025-08-19,1,0,0,New Delhi,Delhi
232,2025-08-20,1,0,0,New Delhi,Delhi
233,2025-08-21,1,0,0,New Delhi,Delhi
234,2025-08-22,1,1,1,New Delhi,Delhi
235,2025-08-23,1,0,0,New Delhi,Delhi
236,2025-08-24,1,0,0,New Delhi,Delhi
237,2025-08-25,1,0,0,New Delhi,Delhi
238,2025-08-26,1,0,0,New Delhi,Delhi
239,2025-08-27,1,0,0,New Delhi,Delhi
240,2025-08-28,1,0,0,New Delhi,Delhi
241,2025-08-29,1,0,0,New Delhi,Delhi
242,2025-08-30,1,1,1,New Delhi,Delhi
243,2025-08-31,1,0,0,New Delhi,Delhi
244,2025-09-01,1,1,1,New Delhi,Delhi
245,2025-09-02,1,0,0,New Delhi,Delhi
246,2025-09-03,1,0,0,New Delhi,Delhi
247,2025-09-04,1,1,1,New Delhi,Delhi
248,2025-09-05,1,0,0,New Delhi,Delhi
249,2025-09-06,1,0,0,New Delhi,Delhi
250,2025-09-07,1,0,0,New Delhi,Delhi
251,2025-09-08,1,0,0,New Delhi,Delhi
252,2025-09-09,1,1,1,New Delhi,Delhi
253,2025-09-10,1,0,0,New Delhi,Delhi
254,2025-09-11,1,0,0,New Delhi,Delhi
255,2025-09-12,1,0,0,New Delhi,Delhi
256,2025-09-13,1,0,0,New Delhi,Delhi
257,2025-09-14,1,0,0,New Delhi,Delhi
258,2025-09-15,1,0,0,New Delhi,Delhi
259,2025-09-16,1,0,0,New Delhi,Delhi
260,2025-09-17,1,0,0,New Delhi,Delhi
261,2025-09-18,1,0,0,New Delhi,Delhi
262,2025-09-19,1,0,0,New Delhi,Delhi
263,2025-09-20,1,0,0,New Delhi,Delhi
264,2025-09-21,1,0,0,New Delhi,Delhi
265,2025-09-22,1,0,0,New Delhi,Delhi
266,2025-09-23,1,0,0,New Delhi,Delhi
267,2025-09-24,1,0,0,New Delhi,Delhi
268,2025-09-25,1,0,0,New Delhi,Delhi
269,2025-09-26,1,0,0,New Delhi,Delhi
270,2025-09-27,1,0,0,New Delhi,Delhi
271,2025-09-28,1,1,1,New Delhi,Delhi
272,2025-09-29,1,1,1,New Delhi,Delhi
273,2025-09-30,1,0,0,New Delhi,Delhi
274,2025-10-01,1,0,0,New Delhi,Delhi
275,2025-10-02,1,0,0,New Delhi,Delhi
276,2025-10-03,1,1,1,New Delhi,Delhi
277,2025-10-04,1,0,0,New Delhi,Delhi
278,2025-10-05,1,0,0,New Delhi,Delhi
279,2025-10-06,1,1,1,New Delhi,Delhi
280,2025-10-07,1,1,1,New Delhi,Delhi
281,2025-10-08,1,0,0,New Delhi,Delhi
282,2025-10-09,1,1,1,New Delhi,Delhi
283,2025-10-10,1,1,1,New Delhi,Delhi
284,2025-10-11,1,0,0,New Delhi,Delhi
285,2025-10-12,1,1,1,New Delhi,Delhi
286,2025-10-13,1,0,0,New Delhi,Delhi
287,2025-10-14,1,0,0,New Delhi,Delhi
288,2025-10-15,1,0,0,New Delhi,Delhi
289,2025-10-16,1,1,1,New Delhi,Delhi
290,2025-10-17,1,0,0,New Delhi,Delhi
291,2025-10-18,1,1,1,New Delhi,Delhi
292,2025-10-19,1,1,1,New Delhi,Delhi
293,2025-10-20,1,1,1,New Delhi,Delhi
294,2025-10-21,1,1,1,New Delhi,Delhi
295,2025-10-22,1,1,1,New Delhi,Delhi
296,2025-10-23,1,0,0,New Delhi,Delhi
297,2025-10-24,1,0,0,New Delhi,Delhi
298,2025-10-25,1,0,0,New Delhi,Delhi
299,2025-10-26,1,1,1,New Delhi,Delhi
300,2025-10-27,1,0,0,New Delhi,Delhi
301,2025-10-28,1,1,1,New Delhi,Delhi
302,2025-10-29,1,0,0,New Delhi,Delhi
303,2025-10-30,1,0,0,New Delhi,Delhi
304,2025-10-31,1,1,1,New Delhi,Delhi
305,2025-11-01,1,1,1,New Delhi,Delhi
306,2025-11-02,1,1,1,New Delhi,Delhi
307,2025-11-03,1,0,0,New Delhi,Delhi
308,2025-11-04,1,1,1,New Delhi,Delhi
309,2025-11-05,1,1,1,New Delhi,Delhi
310,2025-11-06,1,0,0,New Delhi,Delhi
311,2025-11-07,1,0,0,New Delhi,Delhi
312,2025-11-08,1,1,1,New Delhi,Delhi
313,2025-11-09,1,1,1,New Delhi,Delhi
314,2025-11-10,1,1,1,New Delhi,Delhi
315,2025-11-11,1,0,0,New Delhi,Delhi
316,2025-11-12,1,0,0,New Delhi,Delhi
317,2025-11-13,1,1,1,New Delhi,Delhi
318,2025-11-14,1,0,0,New Delhi,Delhi
319,2025-11-15,1,1,1,New Delhi,Delhi
320,2025-11-16,1,0,0,New Delhi,Delhi
321,2025-11-17,1,1,1,New Delhi,Delhi
322,2025-11-18,1,0,0,New Delhi,Delhi
323,2025-11-19,1,0,0,New Delhi,Delhi
324,2025-11-20,1,0,0,New Delhi,Delhi
325,2025-11-21,1,1,1,New Delhi,Delhi
326,2025-11-22,1,0,0,New Delhi,Delhi
327,2025-11-23,1,1,1,New Delhi,Delhi
328,2025-11-24,1,0,0,New Delhi,Delhi
329,2025-11-25,1,1,1,New Delhi,Delhi
330,2025-11-26,1,0,0,New Delhi,Delhi
331,2025-11-27,1,1,1,New Delhi,Delhi
332,2025-11-28,1,1,1,New Delhi,Delhi
333,2025-11-29,1,1,1,New Delhi,Delhi
334,2025-11-30,1,1,1,New Delhi,Delhi
335,2025-12-01,1,1,1,New Delhi,Delhi
336,2025-12-02,1,1,1,New Delhi,Delhi
337,2025-12-03,1,0,0,New Delhi,Delhi
338,2025-12-04,1,1,1,New Delhi,Delhi
339,2025-12-05,1,1,1,New Delhi,Delhi
340,2025-12-06,1,1,1,New Delhi,Delhi
341,2025-12-07,1,1,1,New Delhi,Delhi
342,2025-12-08,1,1,1,New Delhi,Delhi
343,2025-12-09,1,0,0,New Delhi,Delhi
344,2025-12-10,1,1,1,New Delhi,Delhi
345,2025-12-11,1,0,0,New Delhi,Delhi
346,2025-12-12,1,0,0,New Delhi,Delhi
347,2025-12-13,1,1,1,New Delhi,Delhi
348,2025-12-14,1,0,0,New Delhi,Delhi
349,2025-12-15,1,1,1,New Delhi,Delhi
350,2025-12-16,1,1,1,New Delhi,Delhi
351,2025-12-17,1,0,0,New Delhi,Delhi
352,2025-12-18,1,1,1,New Delhi,Delhi
353,2025-12-19,1,1,1,New Delhi,Delhi
354,2025-12-20,1,1,1,New Delhi,Delhi
355,2025-12-21,1,1,1,New Delhi,Delhi
356,2025-12-22,1,0,0,New Delhi,Delhi
357,2025-12-23,1,0,0,New Delhi,Delhi
358,2025-12-24,1,1,1,New Delhi,Delhi
359,2025-12-25,1,1,1,New Delhi,Delhi
360,2025-12-26,1,1,1,New Delhi,Delhi
361,2025-12-27,1,0,0,New Delhi,Delhi
362,2025-12-28,1,0,0,New Delhi,Delhi
363,2025-12-29,1,1,1,New Delhi,Delhi
364,2025-12-30,1,0,0,New Delhi,Delhi
365,2025-12-31,1,1,1,New Delhi,Delhi
366,2025-01-01,2,0,0,Mumbai,Maharashtra
367,2025-01-02,2,0,0,Mumbai,Maharashtra
368,2025-01-03,2,0,0,Mumbai,Maharashtra
369,2025-01-04,2,0,0,Mumbai,Maharashtra
370,2025-01-05,2,0,0,Mumbai,Maharashtra
371,2025-01-06,2,0,0,Mumbai,Maharashtra
372,2025-01-07,2,0,0,Mumbai,Maharashtra
373,2025-01-08,2,0,0,Mumbai,Maharashtra
374,2025-01-09,2,0,0,Mumbai,Maharashtra
375,2025-01-10,2,0,0,Mumbai,Maharashtra
376,2025-01-11,2,0,0,Mumbai,Maharashtra
377,2025-01-12,2,0,0,Mumbai,Maharashtra
378,2025-01-13,2,0,0,Mumbai,Maharashtra
379,2025-01-14,2,0,0,Mumbai,Maharashtra
380,2025-01-15,2,0,0,Mumbai,Maharashtra
381,2025-01-16,2,0,0,Mumbai,Maharashtra
382,2025-01-17,2,0,0,Mumbai,Maharashtra
383,2025-01-18,2,0,0,Mumbai,Maharashtra
384,2025-01-19,2,0,0,Mumbai,Maharashtra
385,2025-01-20,2,0,0,Mumbai,Maharashtra
386,2025-01-21,2,0,0,Mumbai,Maharashtra
387,2025-01-22,2,0,0,Mumbai,Maharashtra
388,2025-01-23,2,0,0,Mumbai,Maharashtra
389,2025-01-24,2,0,0,Mumbai,Maharashtra
390,2025-01-25,2,0,0,Mumbai,Maharashtra
391,2025-01-26,2,0,0,Mumbai,Maharashtra
392,2025-01-27,2,0,0,Mumbai,Maharashtra
393,2025-01-28,2,0,0,Mumbai,Maharashtra
394,2025-01-29,2,0,0,Mumbai,Maharashtra
395,2025-01-30,2,0,0,Mumbai,Maharashtra
396,2025-01-31,2,0,0,Mumbai,Maharashtra
397,2025-02-01,2,0,0,Mumbai,Maharashtra
398,2025-02-02,2,0,0,Mumbai,Maharashtra
399,2025-02-03,2,0,0,Mumbai,Maharashtra
400,2025-02-04,2,0,0,Mumbai,Maharashtra
401,2025-02-05,2,0,0,Mumbai,Maharashtra
402,2025-02-06,2,0,0,Mumbai,Maharashtra
403,2025-02-08,2,0,0,Mumbai,Maharashtra
404,2025-02-09,2,0,0,Mumbai,Maharashtra
405,2025-02-10,2,0,0,Mumbai,Maharashtra
406,2025-02-11,2,0,0,Mumbai,Maharashtra
407,2025-02-12,2,0,0,Mumbai,Maharashtra
408,2025-02-13,2,0,0,Mumbai,Maharashtra
409,2025-02-14,2,0,0,Mumbai,Maharashtra
410,2025-02-15,2,0,0,Mumbai,Maharashtra
411,2025-02-16,2,0,0,Mumbai,Maharashtra
412,2025-02-18,2,0,0,Mumbai,Maharashtra
413,2025-02-21,2,0,0,Mumbai,Maharashtra
414,2025-02-22,2,0,0,Mumbai,Maharashtra
415,2025-02-23,2,0,0,Mumbai,Maharashtra
416,2025-02-24,2,0,0,Mumbai,Maharashtra
417,2025-02-25,2,0,0,Mumbai,Maharashtra
418,2025-02-27,2,0,0,Mumbai,Maharashtra
419,2025-02-28,2,0,0,Mumbai,Maharashtra
420,2025-03-01,2,0,0,Mumbai,Maharashtra
421,2025-03-02,2,0,0,Mumbai,Maharashtra
422,2025-03-03,2,0,0,Mumbai,Maharashtra
423,2025-03-04,2,0,0,Mumbai,Maharashtra
424,2025-03-05,2,0,0,Mumbai,Maharashtra
425,2025-03-06,2,0,0,Mumbai,Maharashtra
426,2025-03-07,2,0,0,Mumbai,Maharashtra
427,2025-03-08,2,0,0,Mumbai,Maharashtra
428,2025-03-09,2,0,0,Mumbai,Maharashtra
429,2025-03-10,2,0,0,Mumbai,Maharashtra
430,2025-03-12,2,0,0,Mumbai,Maharashtra
431,2025-03-13,2,0,0,Mumbai,Maharashtra
432,2025-03-14,2,0,0,Mumbai,Maharashtra
433,2025-03-15,2,0,0,Mumbai,Maharashtra
434,2025-03-16,2,0,0,Mumbai,Maharashtra
435,2025-03-17,2,0,0,Mumbai,Maharashtra
436,2025-03-18,2,0,0,Mumbai,Maharashtra
437,2025-03-19,2,0,0,Mumbai,Maharashtra
438,2025-03-20,2,0,0,Mumbai,Maharashtra
439,2025-03-21,2,0,0,Mumbai,Maharashtra
440,2025-03-22,2,0,0,Mumbai,Maharashtra
441,2025-03-23,2,0,0,Mumbai,Maharashtra
442,2025-03-24,2,0,0,Mumbai,Maharashtra
443,2025-03-25,2,0,0,Mumbai,Maharashtra
444,2025-03-26,2,0,0,Mumbai,Maharashtra
445,2025-03-27,2,0,0,Mumbai,Maharashtra
446,2025-03-28,2,0,0,Mumbai,Maharashtra
447,2025-03-30,2,0,0,Mumbai,Maharashtra
448,2025-03-31,2,0,0,Mumbai,Maharashtra
449,2025-04-01,2,0,0,Mumbai,Maharashtra
450,2025-04-02,2,0,0,Mumbai,Maharashtra
451,2025-04-03,2,0,0,Mumbai,Maharashtra
452,2025-04-04,2,0,0,Mumbai,Maharashtra
453,2025-04-05,2,0,0,Mumbai,Maharashtra
454,2025-04-06,2,0,0,Mumbai,Maharashtra
455,2025-04-07,2,0,0,Mumbai,Maharashtra
456,2025-04-08,2,0,0,Mumbai,Maharashtra
457,2025-04-09,2,0,0,Mumbai,Maharashtra
458,2025-04-10,2,0,0,Mumbai,Maharashtra
459,2025-04-12,2,0,0,Mumbai,Maharashtra
460,2025-04-13,2,0,0,Mumbai,Maharashtra
461,2025-04-14,2,0,0,Mumbai,Maharashtra
462,2025-04-15,2,0,0,Mumbai,Maharashtra
463,2025-04-16,2,0,0,Mumbai,Maharashtra
464,2025-04-17,2,0,0,Mumbai,Maharashtra
465,2025-04-18,2,0,0,Mumbai,Maharashtra
466,2025-04-19,2,0,0,Mumbai,Maharashtra
467,2025-04-20,2,0,0,Mumbai,Maharashtra
468,2025-04-21,2,0,0,Mumbai,Maharashtra
469,2025-04-22,2,0,0,Mumbai,Maharashtra
470,2025-04-23,2,0,0,Mumbai,Maharashtra
471,2025-04-24,2,0,0,Mumbai,Maharashtra
472,2025-04-25,2,0,0,Mumbai,Maharashtra
473,2025-04-26,2,0,0,Mumbai,Maharashtra
474,2025-04-27,2,0,0,Mumbai,Maharashtra
475,2025-04-28,2,0,0,Mumbai,Maharashtra
476,2025-04-29,2,0,0,Mumbai,Maharashtra
477,2025-04-30,2,0,0,Mumbai,Maharashtra
478,2025-05-01,2,0,0,Mumbai,Maharashtra
479,2025-05-02,2,0,0,Mumbai,Maharashtra
480,2025-05-03,2,0,0,Mumbai,Maharashtra
481,2025-05-04,2,0,0,Mumbai,Maharashtra
482,2025-05-05,2,0,0,Mumbai,Maharashtra
483,2025-05-06,2,0,0,Mumbai,Maharashtra
484,2025-05-07,2,0,0,Mumbai,Maharashtra
485,2025-05-08,2,0,0,Mumbai,Maharashtra
486,2025-05-09,2,0,0,Mumbai,Maharashtra
487,2025-05-10,2,0,0,Mumbai,Maharashtra
488,2025-05-11,2,0,0,Mumbai,Maharashtra
489,2025-05-12,2,0,0,Mumbai,Maharashtra
490,2025-05-13,2,0,0,Mumbai,Maharashtra
491,2025-05-14,2,0,0,Mumbai,Maharashtra
492,2025-05-15,2,0,0,Mumbai,Maharashtra
493,2025-05-16,2,0,0,Mumbai,Maharashtra
494,2025-05-17,2,0,0,Mumbai,Maharashtra
495,2025-05-18,2,0,0,Mumbai,Maharashtra
496,2025-05-20,2,0,0,Mumbai,Maharashtra
497,2025-05-21,2,0,0,Mumbai,Maharashtra
498,2025-05-22,2,0,0,Mumbai,Maharashtra
499,2025-05-23,2,0,0,Mumbai,Maharashtra
500,2025-05-24,2,0,0,Mumbai,Maharashtra
501,2025-05-25,2,0,0,Mumbai,Maharashtra
502,2025-05-26,2,0,0,Mumbai,Maharashtra
503,2025-05-27,2,0,0,Mumbai,Maharashtra
504,2025-05-28,2,0,0,Mumbai,Maharashtra
505,2025-05-29,2,0,0,Mumbai,Maharashtra
506,2025-05-30,2,0,0,Mumbai,Maharashtra
507,2025-05-31,2,0,0,Mumbai,Maharashtra
508,2025-06-01,2,0,0,Mumbai,Maharashtra
509,2025-06-02,2,0,0,Mumbai,Maharashtra
510,2025-06-03,2,0,0,Mumbai,Maharashtra
511,2025-06-05,2,0,0,Mumbai,Maharashtra
512,2025-06-06,2,1,1,Mumbai,Maharashtra
513,2025-06-07,2,0,0,Mumbai,Maharashtra
514,2025-06-08,2,0,0,Mumbai,Maharashtra
515,2025-06-09,2,0,0,Mumbai,Maharashtra
516,2025-06-10,2,0,0,Mumbai,Maharashtra
517,2025-06-11,2,0,0,Mumbai,Maharashtra
518,2025-06-12,2,0,0,Mumbai,Maharashtra
519,2025-06-13,2,0,0,Mumbai,Maharashtra
520,2025-06-14,2,0,0,Mumbai,Maharashtra
521,2025-06-15,2,0,0,Mumbai,Maharashtra
522,2025-06-16,2,0,0,Mumbai,Maharashtra
523,2025-06-17,2,0,0,Mumbai,Maharashtra
